,movieId,TITLE,TMDB_SCORE,IMDB_SCORE,TOTAL_RATINGS,FEATURED CREW,TOP BILLED CAST,ORIGINAL LANGUAGE,RUN TIME,GENRE,BUDGET,REVENUE
11,12,Dracula: Dead and Loving It,57,5.8,"32,974","[(Mel Brooks, 14639, Director, Screenplay), (Steve Haberman, 71303, Screenplay), (Rudy De Luca, 67674, Screenplay)]","[(Leslie Nielsen, 7633, Count Dracula), (Mel Brooks, 14639, Prof. Abraham Van Helsing), (Amy Yasbeck, 1219, Mina Seward), (Peter MacNicol, 12688, Thomas Renfield), (Lysette Anthony, 12812, Lucy Westenra)]",English,1h28m,"[Comedy, Horror]","$30,000,000 ","$10,693,649 "
12,13,Balto,72,7.1,"33,384","[(David Steven Cohen, 991160, Writer), (Cliff Ruby, 570268, Writer), (Elana Lesser, 106850, Writer), (Simon Wells, 21879, Director), (Roger S.H. Schulman, 12061, Writer)]","[(Kevin Bacon, 4724, Balto (voice)), (Bob Hoskins, 382, Boris the Goose (voice)), (Bridget Fonda, 2233, Jenna (voice)), (Jim Cummings, 12077, Steele the Sled Dog (voice)), (Phil Collins, 110001, Muk and Luk (voice))]",English,1h18m,"[Animation, Adventure, Family]",-,"$11,348,324.00 "
13,14,Nixon,71,7.1,"25,589","[(Oliver Stone, 1152, Director, Screenplay), (Stephen J. Rivele, 17786, Screenplay)]","[(Anthony Hopkins, 4173, Richard Nixon), (Joan Allen, 11148, Pat Nixon), (Powers Boothe, 6280, Alexander Haig), (Ed Harris, 228, E. Howard Hunt), (Bob Hoskins, 382, J. Edgar Hoover)]",English,3h12m,"[History, Drama]","$44,000,000.00 ","$13,681,765.00 "
14,15,Cutthroat Island,57,5.6,"22,701","[(Robert King, 1224549, Screenplay), (Michael Frost Beckner, 21203, Story), (Marc Norman, 20061, Screenplay), (James Gorman, 22706, Story), (Renny Harlin, 16938, Director)]","[(Geena Davis, 16935, Morgan Adams), (Matthew Modine, 8654, William Shaw), (Frank Langella, 8924, Dawg), (Maury Chaykin, 7868, John Reed), (Patrick Malahide, 8979, Ainstee)]",English,1h59m,"[Action, Adventure]","$98,000,000.00 ","$10,017,322.00 "
15,16,Casino,78,8.2,"372,373","[(Nicholas Pileggi, 7163, Novel, Screenplay), (Martin Scorsese, 1032, Director, Screenplay)]","[(Robert De Niro, 380, Sam 'Ace' Rothstein), (Sharon Stone, 4430, Ginger McKenna), (Joe Pesci, 4517, Nicky Santoro), (James Woods, 4512, Lester Diamond), (Don Rickles, 7167, Billy Sherbert)]",English,2h58m,"[Drama, Crime]","$52,000,000.00 ","$116,112,375.00 "
16,17,Sense and Sensibility,72,7.7,"85,184","[(Emma Thompson, 7056, Screenplay), (Jane Austen, 32982, Novel), (Ang Lee, 1614, Director)]","[(Kate Winslet, 204, Marianne Dashwood), (Emma Thompson, 7056, Elinor Dashwood), (Hugh Grant, 3291, Edward Ferrars), (Tom Wilkinson, 207, Mr. Dashwood), (Alan Rickman, 4566, Col. Christopher Brandon)]",English,2h16m,"[Drama, Romance]","$16,500,000.00 ","$135,000,000.00 "
17,18,Four Rooms,65,6.7,"84,579","[(Quentin Tarantino, 138, Director, Writer), (Robert Rodriguez, 2294, Director, Writer), (Alexandre Rockwell, 3111, Director, Writer), (Allison Anders, 3110, Director, Writer)]","[(Tim Roth, 3129, Ted the Bellhop), (Antonio Banderas, 3131, Man), (Jennifer Beals, 3130, Angela), (Madonna, 3125, Elspeth), (Marisa Tomei, 3141, Margaret)]",English,1h38m,"[Crime, Comedy]","$4,000,000.00 ","$4,300,000.00 "
18,19,Ace Ventura: When Nature Calls,61,6.3,"174,443","[(Steve Oedekerk, 4489, Director, Screenplay), (Jack Bernstein, 29901, Characters)]","[(Jim Carrey, 206, Ace Ventura), (Ian McNeice, 3547, Fulton Greenwall), (Simon Callow, 4001, Vincent Cadby), (Maynard Eziashi, 57096, Ouda), (Bob Gunton, 4029, Burton Quinn)]",English,1h30m,"[Crime, Comedy, Adventure]","$30,000,000.00 ","$212,385,533.00 "
19,20,Money Train,54,5.6,"34,354","[(Joseph Ruben, 52629, Director), (Doug Richardson, 20840, Screenplay)]","[(Wesley Snipes, 10814, John), (Woody Harrelson, 57755, Charlie), (Jennifer Lopez, 16866, Grace Santiago), (Robert Blake, 9287, Donald Patterson), (Chris Cooper, 2955, Torch)]",English,1h43m,"[Action, Comedy, Crime]","$60,000,000.00 ","$35,431,113.00 "
20,21,Get Shorty,63,6.9,"66,835","[(Barry Sonnenfeld, 5174, Director), (Elmore Leonard, 2235, Novel), (Scott Frank, 2199, Screenplay)]","[(John Travolta, 8891, Chili Palmer), (Gene Hackman, 193, Harry Zimm), (Rene Russo, 14343, Karen Flores), (Danny DeVito, 518, Martin Weir), (Dennis Farina, 1117, Ray 'Bones' Barboni)]",English,1h45m,"[Comedy, Thriller, Crime]","$30,250,000.00 ","$115,101,622.00 "
21,22,Copycat,64,6.6,"45,476","[(David Madsen, 18683, Screenplay), (Ann Biderman, 17815, Screenplay), (Jon Amiel, 15148, Director)]","[(Sigourney Weaver, 10205, Helen Hudson), (Holly Hunter, 18686, M.J. Monahan), (Will Patton, 883, Nico Letti), (William McNamara, 18687, Peter Foley), (Harry Connick Jr., 18688, Doryll Lee Cullum)]",English,2h4m,"[Drama, Thriller]","$20,000,000 ","$32,051,917 "
22,23,Assassins,60,6.3,"67,960","[(Lana Wachowski, 9340, Author, Screenplay), (Lilly Wachowski, 9339, Author, Screenplay), (Richard Donner, 7187, Director), (Brian Helgeland, 4723, Screenplay)]","[(Sylvester Stallone, 16483, Robert Rath), (Antonio Banderas, 3131, Miguel Bain), (Julianne Moore, 1231, Electra), (Anatoli Davydov, 58556, Nicolai Tashlinkov), (Muse Watson, 17348, Ketcham)]",English,2h12m,"[Action, Adventure, Crime, Thriller]","$50,000,000.00 ","$30,303,072.00 "
23,24,Powder,63,6.6,"25,816","[(Victor Salva, 56349, Director, Screenplay)]","[(Mary Steenburgen, 2453, Jessie Caldwell), (Sean Patrick Flanery, 54789, Jeremy 'Powder' Reed), (Lance Henriksen, 2714, Sheriff Doug Barnum), (Jeff Goldblum, 4785, Donald Ripley), (Brandon Smith, 36637, Deputy Harley Duncan)]",English,1h51m,"[Drama, Fantasy, Science Fiction, Thriller]","$9,500,000 ","$30,862,146 "
24,25,Leaving Las Vegas,72,7.6,"100,015","[(Mike Figgis, 6111, Director, Screenplay), (John O'Brien, 1741885, Novel)]","[(Nicolas Cage, 2963, Ben Sanderson), (Elisabeth Shue, 1951, Sera), (Julian Sands, 6104, Yuri), (Richard Lewis, 6105, Peter), (Steven Weber, 6106, Marc Nussbaum)]",English,1h52m,"[Drama, Romance]","$3,600,000.00 ","$49,800,000.00 "
25,26,Othello,69,6.9,"8,045","[(Oliver Parker, 56710, Director), (William Shakespeare, 6210, Writer)]","[(Laurence Fishburne, 2975, Othello), (IrÃ¨ne Jacob, 1350, Desdemona), (Kenneth Branagh, 11181, Iago), (Nathaniel Parker, 27631, Cassio), (Indra OvÃ©, 232174, Bianca)]",English,2h3m,[Drama],"$11,000,000 ","$2,112,951 "
26,27,Now and Then,66,6.8,"22,890","[(I. Marlene King, 57062, Screenplay), (Lesli Linka Glatter, 15798, Director)]","[(Christina Ricci, 6886, Young Roberta Martin), (Rosie O'Donnell, 12929, Dr. Roberta Martin), (Thora Birch, 2155, Teeny), (Melanie Griffith, 29369, Tina 'Teeny' Tercell), (Gaby Hoffmann, 12930, Young Samantha Albertson)]",English,1h40m,"[Comedy, Drama, Family]","$12,000,000.00 ","$27,400,000.00 "
27,28,Persuasion,74,7.7,"9,192","[(Jane Austen, 32982, Novel), (Nick Dear, 137933, Screenplay), (Roger Michell, 7017, Director)]","[(Amanda Root, 30318, Anne Elliott), (CiarÃ¡n Hinds, 8785, Captain Frederick Wentworth), (Susan Fleetwood, 87415, Lady Russell), (Fiona Shaw, 10981, Mrs. Croft), (John Woodvine, 14465, Admiral Croft)]",English,1h44m,"[Drama, Romance]",-,"$5,462,325 "
28,29,The City of Lost Children,76,7.6,"58,875","[(Marc Caro, 13680, Director, Screenplay), (Jean-Pierre Jeunet, 2419, Director, Screenplay), (Gilles Adrien, 13681, Screenplay)]","[(Ron Perlman, 2372, One), (Dominique Pinon, 2413, Scaphandrier / Les Clones), (Judith Vittet, 13842, Miette), (Daniel Emilfork, 13843, Krank), (Jean-Claude Dreyfus, 13687, Marcello)]",French,1h48m,"[Fantasy, Science Fiction, Adventure]","$18,000,000.00 ","$1,738,611.00 "
29,30,Shanghai Triad,65,7.2,"4,483","[(Li Xiao, 146104, Novel), (Bi Feiyu, 146103, Writer), (Zhang Yimou, 607, Director)]","[(Gong Li, 643, Xiao Jingbao), (Li Bao-Tian, 146097, Tang, the Gang Boss), (Wang Xiaoxiao, 150151, Shuisheng, the boy), (Li Xuejian, 143358, Liu, 6th Uncle), (Chun Sung, 150152, Song, Tang's No. 2)]",Mandarin,1h48m,"[Drama, Crime]",-,"$2,300,000 "
30,31,Dangerous Minds,64,6.4,"41,290","[(John N. Smith, 60295, Director), (LouAnne Johnson, 60296, Novel), (Ronald Bass, 5144, Screenplay)]","[(Michelle Pfeiffer, 1160, Louanne Johnson), (George Dzundza, 10477, Hal Griffith), (Courtney B. Vance, 24047, George Grandey), (Robin Bartlett, 11902, Carla Nichols), (John Neville, 12642, Waiter)]",English,1h39m,"[Drama, Crime]","$23,000,000.00 ","$179,519,401.00 "
31,32,Twelve Monkeys,74,8,"505,475","[(David Webb Peoples, 7191, Screenplay), (Janet Peoples, 281, Screenplay), (Terry Gilliam, 280, Director)]","[(Bruce Willis, 62, James Cole), (Madeleine Stowe, 289, Dr. Kathryn Railly), (Brad Pitt, 287, Jeffrey Goines), (Christopher Plummer, 290, Dr. Goines), (David Morse, 52, Dr. Peters)]",English,2h9m,"[Science Fiction, Thriller, Mystery]","$29,500,000.00 ","$168,840,000.00 "
32,34,Babe,60,6.8,"101,376","[(Chris Noonan, 58137, Director, Screenplay), (Dick King-Smith, 46299, Novel), (George Miller, 20629, Screenplay)]","[(Christine Cavanaugh, 58136, Babe the Gallant Pig (voice)), (Miriam Margolyes, 6199, Fly the Female Sheepdog (voice)), (Danny Mann, 52699, Ferdinand the Duck (voice)), (Hugo Weaving, 1331, Rex the Male Sheepdog (voice)), (Miriam Flynn, 35109, Maa the Very Old Ewe (voice))]",English,1h29m,"[Fantasy, Drama, Comedy, Family]","$30,000,000.00 ","$254,134,910.00 "
33,35,Carrington,64,6.9,"4,649","[(Christopher Hampton, 12952, Director, Screenplay), (Michael Holroyd, 1338011, Novel)]","[(Emma Thompson, 7056, Dora Carrington), (Jonathan Pryce, 378, Lytton Strachey), (Steven Waddington, 27764, Ralph Partridge), (Samuel West, 54447, Gerald Brenan), (Rufus Sewell, 17328, Mark Gertler)]",English,2h1m,"[History, Drama, Romance]",-,"$3,242,342 "
34,36,Dead Man Walking,73,7.6,"77,911","[(Tim Robbins, 504, Director, Screenplay), (Helen Prejean, 10298, Screenplay)]","[(Susan Sarandon, 4038, Sister Helen Prejean), (Sean Penn, 2228, Matthew Poncelet), (Robert Prosky, 10360, Hilton Barber), (Raymond J. Barry, 10361, Earl Delacroix), (R. Lee Ermey, 8655, Clyde Percy)]",English,2h2m,[Drama],"$11,000,000.00 ","$39,363,635.00 "
35,37,Across the Sea of Time,35,6.4,217,"[(Andrew Gellis, 1439903, Writer), (Stephen Low, 77867, Director)]","[(Peter Reznick, 1467084, Tomas Minton), (John McDonough, 1467085, Freighter Chief), (Avi Hoffman, 1467086, Seaman), (Matt Malloy, 19208, Wall Street Businessman), (Abby Lewis, 1218074, Julia Minton)]",English,0h51m,"[Adventure, History, Drama, Family]",-,"$15,982,846,"
36,38,It Takes Two,60,5.8,"16,384","[(Deborah Dean Davis, 147476, Writer), (Andy Tennant, 17167, Director)]","[(Kirstie Alley, 1796, Diane Barrows), (Steve Guttenberg, 26472, Roger Callaway), (Ashley Olsen, 67848, Alyssa Callaway / Amanda Lemmon), (Mary-Kate Olsen, 67849, Amanda Lemmon / Alyssa Callaway), (Jane Sibbett, 92255, Clarice Kensington)]",English,1h41m,"[Comedy, Family, Romance]",-,"$19,474,589 "
37,39,Clueless,70,6.8,"139,085","[(Amy Heckerling, 57434, Director, Screenplay)]","[(Alicia Silverstone, 5588, Cher Horowitz), (Stacey Dash, 58150, Dionne), (Brittany Murphy, 328, Tai), (Paul Rudd, 22226, Josh), (Donald Faison, 49002, Murray)]",English,1h37m,"[Comedy, Drama, Romance]","$12,000,000.00 ","$20,700,000 "
38,40,"Cry, the Beloved Country",67,6.9,"1,525","[(Alan Paton, 123828, Novel), (Darrell James Roodt, 16730, Director), (Joshua Sinclair, 3774, Writer), (Ronald Harwood, 3558, Writer)]","[(James Earl Jones, 15152, Rev. Stephen Kumalo), (Charles S. Dutton, 17764, John Kumalo), (Jack Robinson, 123831, Ian Jarvis), (Tsholofelo Wechoemang, 123833, Child), (Ramalao Makhene, 123834, Ramalao Makhene)]",English,1h46m,[Drama],-,"$676,525.00 "
39,41,Richard III,68,7.5,"12,298","[(Richard Loncraine, 33315, Director, Writer), (Ian McKellen, 1327, Writer)]","[(Ian McKellen, 1327, Richard III), (Annette Bening, 516, Elizabeth), (Jim Broadbent, 388, The Duke of Buckingham), (Kristin Scott Thomas, 5470, Lady Anne), (Adrian Dunbar, 42566, James Tyrrell)]",English,1h44m,"[Drama, War]","Â£6,000,000","$2,600,000 "
40,42,Dead Presidents,67,6.9,"16,558","[(Michael Henry Brown, 69448, Screenplay), (Allen Hughes, 11448, Director), (Albert Hughes, 11447, Director)]","[(Larenz Tate, 18291, Anthony Curtis), (Keith David, 65827, Kirby), (Chris Tucker, 66, Skip), (Freddy RodrÃ_guez, 6862, Jose), (Rose Jackson, 69447, Juanita Benson)]",English,1h59m,"[Action, Crime, Drama, History]","$10,000,000.00 ","$24,200,000 "
41,43,Restoration,63,6.7,"7,939","[(Rose Termain, 227501, Writer), (Rupert Walters, 114886, Writer), (Michael Hoffman, 52405, Director)]","[(Robert Downey Jr., 3223, Robert Merivel), (Meg Ryan, 5344, Katharine), (Sam Neill, 4783, King Charles II), (David Thewlis, 11207, John Pearce), (Hugh Grant, 3291, Elias Finn)]",English,1h57m,"[Drama, Romance]","$19,000,000.00 ","$4,100,000 "
42,44,Mortal Kombat,55,5.8,"87,672","[(Kevin Droney, 57258, Screenplay), (Ed Boon, 57256, Screenplay), (John Tobias, 57257, Screenplay), (Paul W.S. Anderson, 4014, Director)]","[(Christopher Lambert, 38559, Lord Rayden), (Robin Shou, 57250, Liu Kang), (Linden Ashby, 57251, Johnny Cage), (Cary-Hiroyuki Tagawa, 11398, Shang Tsung), (Bridgette Wilson, 20751, Sonya Blade)]",English,1h41m,"[Action, Fantasy]","$18,000,000.00 ","$122,195,920.00 "
43,45,To Die For,67,6.8,"37,295","[(Buck Henry, 7795, Screenplay), (Joyce Maynard, 7794, Author), (Gus Van Sant, 5216, Director)]","[(Nicole Kidman, 2227, Suzanne Stone Maretto), (Matt Dillon, 2876, Larry Maretto), (Joaquin Phoenix, 73421, Jimmy Emmett), (Casey Affleck, 1893, Russel Hines), (Illeana Douglas, 7796, Janice Maretto)]",English,1h46m,"[Fantasy, Drama, Comedy, Thriller]","$20,000,000.00 ","$21,284,514.00 "
44,46,How To Make An American Quilt,65,6.2,"9,283","[(Whitney Otto, 1788045, Novel), (Jane Anderson, 59670, Screenplay), (Jocelyn Moorhouse, 3047, Director)]","[(Winona Ryder, 1920, Finn Dodd), (Anne Bancroft, 10774, Glady Joe Cleary), (Ellen Burstyn, 9560, Hy Dodd), (Kate Nelligan, 18794, Constance Saunders), (Jean Simmons, 14500, Em)]",English,1h56m,"[Drama, Romance]","$10,000,000.00 ","$23,574,130.00 "
45,47,Se7en,81,8.6,"1,149,982","[(Andrew Kevin Walker, 12047, Screenplay), (David Fincher, 7467, Director)]","[(Brad Pitt, 287, Detective David Mills), (Morgan Freeman, 192, Detective Lt. William Somerset), (Gwyneth Paltrow, 12052, Tracy Mills), (John C. McGinley, 11885, California), (Kevin Spacey, 1979, John Doe)]",English,2h7m,"[Crime, Mystery, Thriller]","$33,000,000.00 ","$327,311,859.00 "
46,48,Pocahontas,68,6.7,"135,872","[(Carl Binder, 65532, Screenplay), (Eric Goldberg, 65531, Director), (Mike Gabriel, 65530, Director), (Chris Buck, 15774, Story), (Philip LaZebnik, 37078, Screenplay), (Susannah Grant, 6340, Screenplay)]","[(Irene Bedard, 65529, Pocahontas (voice)), (Mel Gibson, 2461, John Smith (voice)), (David Ogden Stiers, 28010, Governor Ratcliffe (voice)), (John Kassir, 31365, Meeko (voice)), (Russell Means, 3203, Powhatan (voice))]",English,1h21m,"[Adventure, Animation, Drama, Family]","$55,000,000.00 ","$346,079,773.00 "
47,49,When Night Is Falling,60,6.7,"5,768","[(Patricia Rozema, 55439, Director, Screenplay)]","[(Pascale BussiÃ¨res, 54818, Camille Baker), (Rachael Crawford, 54819, Petra), (Henry Czerny, 15319, Martin), (Don McKellar, 20173, Timothy)]",English,1h36m,"[Drama, Romance]",-,"$1,194,152 "
48,50,The Usual Suspects,81,8.6,"824,309","[(Christopher McQuarrie, 9033, Writer), (Bryan Singer, 9032, Director)]","[(Stephen Baldwin, 9045, Michael McManus), (Gabriel Byrne, 5168, Dean Keaton), (Chazz Palminteri, 9046, US Customs Agent Dave Kujan), (Kevin Pollak, 7166, Todd Hockney), (Pete Postlethwaite, 4935, Kobayashi)]",English,1h46m,"[Drama, Crime, Thriller]","$6,000,000.00 ","$23,341,568.00 "
49,52,Mighty Aphrodite,67,7.1,"33,970","[(Woody Allen, 1243, Director, Screenplay)]","[(Woody Allen, 1243, Lenny), (Mira Sorvino, 23931, Linda Ash), (Helena Bonham Carter, 1283, Amanda), (F. Murray Abraham, 1164, Chorleiter), (Donald Symington, 10560, Amanda's Father)]",English,1h35m,"[Comedy, Romance]","$15,000,000.00 ","$6,700,000.00 "
50,53,Lamerica,77,7.6,"1,836","[(Gianni Amelio, 128107, Director, Screenplay), (Alessandro Sermoneta, 567786, Screenplay), (Andrea Porporati, 35096, Screenplay)]","[(Enrico Lo Verso, 27392, Gino), (Michele Placido, 25819, Fiore), (Piro Milkani, 1149435, Selimi), (Carmelo Di Mazzarelli, 1180060, Spiro), (Elida Janushi, 1306493, Selimi's Cousin)]",Italian,1h56m,"[Drama, Foreign]",-,"$4,788,331 "
51,54,The Big Green,52,5.5,"7,566","[(Holly Goldberg Sloan, 71338, Director, Writer)]","[(Steve Guttenberg, 26472, Sheriff Tom Palmer), (Olivia d'Abo, 46423, Miss Anna Mongomery), (Jay O. Sanders, 6067, Coach Jay Huffer), (John Terry, 8659, Edwin V. Douglas), (Bug Hall, 69395, Newt Shaw)]",English,1h40m,"[Action, Adventure, Comedy, Family]","$12,000,000 ","$17,725,500 "
52,55,Georgia,61,6.5,"2,546","[(Ulu Grosbard, 140354, Director), (Barbara Turner, 72583, Screenplay)]","[(Jennifer Jason Leigh, 10431, Sadie Flood), (Mare Winningham, 51544, Georgia Flood), (Ted Levine, 15854, Jake), (Max Perlich, 7268, Axel Goldman), (John Doe, 42746, Bobby)]",English,1h55m,[Drama],-,"$1,110,104 "
53,57,Home for the Holidays,63,6.6,"9,896","[(Chris Radant, 56945, Screenplay), (W.D. Richter, 18179, Screenplay), (Jodie Foster, 1038, Director)]","[(Holly Hunter, 18686, Claudia Larson), (Robert Downey Jr., 3223, Tommy Larson), (Anne Bancroft, 10774, Adele Larson), (Charles Durning, 1466, Henry Larson), (Claire Danes, 6194, Kitt Larson)]",English,1h43m,"[Comedy, Drama, Romance]","$20,000,000 ","$17,519,169.00 "
54,58,The Postman,77,7.7,"28,268","[(Massimo Troisi, 67792, Director, Screenplay), (Michael Radford, 28898, Director, Screenplay), (Giacomo Scarpelli, 67790, Screenplay), (Antonio SkÃ¡rmeta, 67789, Novel), (Furio Scarpelli, 5812, Screenplay)]","[(Philippe Noiret, 24366, Pablo Neruda), (Massimo Troisi, 67792, Mario Ruoppolo), (Maria Grazia Cucinotta, 10777, Beatrice Russo), (Renato Scarpa, 14149, Telegrapher), (Linda Moretti, 538696, Donna Rosa)]",Italian,1h48m,"[Comedy, Drama, Romance]","$3,000,000 ","$54,900,000 "
55,59,The Confessional,60,7.6,"1,413","[(Robert Lepage, 38527, Director, Writer)]","[(Lothaire Bluteau, 38524, Pierre Lamontagne), (Patrick Goyette, 1019878, Marc Lamontagne), (Jean-Louis Millette, 1019879, Raymond Massicotte), (Kristin Scott Thomas, 5470, Assistant to Hitchcock), (Ron Burrage, 223877, Alfred Hitchcock)]",French,1h40m,"[Thriller, Drama, Mystery]",-,"$575,001 "
56,60,The Indian in the Cupboard,59,5.9,"22,207","[(Melissa Mathison, 9964, Screenplay), (Frank Oz, 7908, Director)]","[(Hal Scardino, 69301, Omri), (Litefoot, 69302, Little Bear), (Lindsay Crouse, 32225, Jane), (Richard Jenkins, 28633, Victor), (Rishi Bhat, 1318612, Patrick)]",English,1h36m,"[Adventure, Family, Fantasy]","$45,000,000.00 ","$35,617,599 "
57,61,Eye for an Eye,59,6.1,"11,080","[(Erika Holzer, 1594448, Novel), (Amanda Silver, 67803, Writer), (Rick Jaffa, 67802, Writer), (John Schlesinger, 19304, Director)]","[(Sally Field, 35, Karen McCann), (Kiefer Sutherland, 2628, Robert Doob), (Ed Harris, 228, Mack McCann), (Beverly D'Angelo, 821, Dolly Green), (Charlayne Woodard, 33689, Angel Kosinsky)]",English,1h41m,"[Drama, Thriller]","$20,000,000.00 ","$53,192,700 "
58,62,Mr. Holland's Opus,70,7.3,"31,794","[(Patrick Sheane Duncan, 21101, Screenplay), (Stephen Herek, 18356, Director)]","[(Richard Dreyfuss, 3037, Glenn Holland), (Glenne Headly, 21104, Iris Holland), (Jay Thomas, 21105, Bill Meister), (Olympia Dukakis, 3019, Principal Helen Jacobi), (William H. Macy, 3905, Vice Principal Gene Wolters)]",English,2h17m,"[Music, Drama, Family]","$23,000,000 ","$106,269,971.00 "
